pais,redes distintas
REINO  DE  BÉLGICA,6
ESTADOS  UNIDOS  DE  AMÉRICA,6
CANADÁ,5
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,5
SANTA  SEDE,4
REINO  DE  ESPAÑA,4
CONFEDERACIÓN  SUIZA,4
REPÚBLICA  ITALIANA,4
REPÚBLICA  FEDERATIVA  DEL  BRASIL,4
REPÚBLICA  TUNECINA,4
ESTADOS  UNIDOS  MEXICANOS,4
REPÚBLICA  DE  EL  SALVADOR,3
REPÚBLICA  DEL  PARAGUAY,3
REPÚBLICA  DE  LA  INDIA,3
REPÚBLICA  DE  TÜRKIYE,3
ESTADO  PLURINACIONAL  DE  BOLIVIA,3
REPÚBLICA  DE  AUSTRIA,3
REPÚBLICA  DEL  ECUADOR,3
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,3
REINO  DE  ARABIA  SAUDITA,3
REPÚBLICA  DE  ARMENIA,3
REINO  DE  SUECIA,3
REPÚBLICA  ORIENTAL  DEL  URUGUAY,3
REPÚBLICA  DE  AZERBAIYÁN,3
REPÚBLICA  DE  SUDÁFRICA,3
REPÚBLICA  DE  COLOMBIA,3
JAMAICA,3
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,3
REPÚBLICA  DE  CHILE,3
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,3
REPÚBLICA  ÁRABE  DE  EGIPTO,3
REPÚBLICA  DE  FILIPINAS,3
FEDERACIÓN  DE  RUSIA,2
ESTADO  DE  ISRAEL,2
REINO  DE  LOS  PAÍSES  BAJOS,2
REPÚBLICA  FEDERAL  DE  NIGERIA,2
RUMANIA,2
UCRANIA,2
REPÚBLICA  CHECA,2
REPÚBLICA  DE  ANGOLA,2
REPÚBLICA  HELÉNICA,2
REPÚBLICA  DE  BULGARIA,2
IRLANDA,2
REPÚBLICA  DE  SERBIA,2
REPÚBLICA  DE  KENYA,2
日本国  (JAPÓN),2
REPÚBLICA  DE  MOZAMBIQUE,2
REPÚBLICA  DE  NICARAGUA,2
REPÚBLICA  FEDERAL  DE  ALEMANIA,2
REPÚBLICA  DE  COREA,2
REPÚBLICA  SOCIALISTA  DE  VIETNAM,2
AUSTRALIA,2
REPÚBLICA  FRANCESA,2
REPÚBLICA  DE  FINLANDIA,2
REPÚBLICA  DE  SINGAPUR,2
REINO  DE  MARRUECOS,2
REINO  DE  NORUEGA,2
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,2
REPÚBLICA  DEL  PERÚ,2
REPÚBLICA  DE  INDONESIA,1
REPÚBLICA  DE  POLONIA,1
REPÚBLICA  DE  COSTA  RICA,1
REPÚBLICA  DOMINICANA,1
ESTADO  DE  QATAR,1
REPÚBLICA  DE  SENEGAL,1
ESTADO  DE  PALESTINA,1
REINO  DE  TAILANDIA,1
REPÚBLICA  DE  HONDURAS,1
ESTADO  DE  KUWAIT,1
REPÚBLICA  LIBANESA,1
EMIRATOS  ÁRABES  UNIDOS,1
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1
MALASIA,1
REPÚBLICA  POPULAR  DE  CHINA,1
REINO  DE  DINAMARCA,1
REPÚBLICA  ÁRABE  SIRIA,1
REPÚBLICA  DE  CUBA,1
BARBADOS,1
HUNGRÍA,1
REPÚBLICA  DE  PANAMÁ,1
